Name ,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
Dehsabz,74.58572836,98.27575406,126.910057,157.6921485,187.5733687,215.0767541,239.0129046,259.0533438,274.7599137,285.4246775
Bagrami,91.96153231,120.6979146,155.1995182,192.0200595,227.5014069,259.9404227,287.9794839,311.2043964,329.1358433,340.9860009
Khak-e-Jabbar,39.29812545,49.95492689,62.60942317,75.99000449,88.77744607,100.3889219,110.3660609,118.4840616,124.5651023,128.3591509
Kalakan,633.7063417,850.2268498,1114.212914,1399.99501,1678.77037,1936.317508,2161.05714,2350.292972,2500.111737,2603.343171
Shakardara,210.0622372,264.3722423,329.3566941,398.6846374,465.6419392,527.1190367,580.5683458,624.7560272,658.5771955,680.5756537
Surkh-e-Parsa,42.49745808,47.42472897,52.84450273,58.17635418,62.96088071,67.07149126,70.41894343,72.5847188,73.42525156,72.98489336
Guldara,243.5679614,301.1038487,369.2746785,441.2772147,510.0881613,572.6028487,626.3342062,669.6616549,701.4212402,720.3827379
Mirbachakot,738.7791577,985.9674793,1286.002076,1609.436111,1923.81313,2213.321368,2465.188728,2676.303789,2842.318587,2955.46881
Farza,200.8448216,250.6452362,309.6454565,371.9458708,431.44764,485.4642575,531.8625291,569.3805726,597.0728712,613.8524208
Estalef,308.0332197,383.5689306,472.7977334,566.7797697,656.3616239,737.5520166,807.2013865,863.3984855,904.736279,929.6233585
Charikar,478.1583758,578.4783973,698.2117858,826.9498029,953.6766537,1073.168803,1180.72307,1273.736137,1349.561825,1404.748833
Bagram,201.6823987,265.0938336,342.3275767,426.0884942,508.1627546,584.4993285,651.7018327,708.8380243,754.6337805,786.8605556
Saydkhel,606.9828411,787.5844243,1007.176964,1245.158721,1478.575314,1696.060121,1888.080574,2051.822411,2183.521447,2276.86739
Surobi,70.08206553,90.55009254,114.8977228,140.6708596,165.3301916,187.7406046,207.0035905,222.7806881,234.735901,242.372008
Hisa-e-Awal-e-Kohestan,562.0706965,709.1829724,881.6997976,1062.011258,1232.79389,1386.714443,1518.108754,1623.991032,1701.969242,1749.169743
Muhmand Dara,175.4024436,232.1462042,300.3529871,373.340392,443.9261385,508.4964745,564.310293,610.7850999,647.0091269,671.3329842
